"OEC ID";"HS ID";"Product Level";"Product Name";"Revision"
"62939";"29.39";"HS4";"Vegetable Alkaloids";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293910";"29.39.10";"HS6";"Opium alkaloids, their derivs, in bulk, salts thereof";"HS92,HS96"
"6293911";"29.39.11";"HS6";"Opium alkaloids and derivatives (salts)";"HS02,HS07,HS12,HS17,HS22"
"6293919";"29.39.19";"HS6";"Opium alkaloids and derivatives (excluding heading 2939.11)";"HS02,HS07,HS12,HS17,HS22"
"6293920";"29.39.20";"HS6";"Cinchona alkaloids and derivatives (salts)";"HS07,HS12,HS17,HS22"
"6293921";"29.39.21";"HS6";"Quinine, salts, in bulk";"HS92,HS96,HS02"
"6293929";"29.39.29";"HS6";"Cinchona alkaloids, derivatives nes, in bulk, salts";"HS92,HS96,HS02"
"6293930";"29.39.30";"HS6";"Caffeine, salts, in bulk";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293940";"29.39.40";"HS6";"Ephedrines, salts, in bulk";"HS92"
"6293941";"29.39.41";"HS6";"Ephedrine & Its Salts";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293942";"29.39.42";"HS6";"Pseudoephedrine & Its Salts";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293943";"29.39.43";"HS6";"Cathine and its salts (vegetal alkaloids)";"HS02,HS07,HS12,HS17,HS22"
"6293944";"29.39.44";"HS6";"Norephedrine and its salts (vegetal alkaloids)";"HS12,HS17,HS22"
"6293945";"29.39.45";"HS6";"Ephedrine alkaloids and derivatives";"HS22"
"6293949";"29.39.49";"HS6";"Various Vegetable Alkaloids (Excluding Specific Ones)";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293950";"29.39.50";"HS6";"Theophylline and aminophylline, derivs, in bulk, salt";"HS92,HS96"
"6293951";"29.39.51";"HS6";"Theophylline, aminophylline, and fenetylline salts (vegetal alkaloids)";"HS02,HS07,HS12,HS17,HS22"
"6293959";"29.39.59";"HS6";"Theophylline and aminophylline salts (excluding fenetylline)";"HS02,HS07,HS12,HS17,HS22"
"6293960";"29.39.60";"HS6";"Rye ergot alkaloids, derivatives, in bulk, salts";"HS92"
"6293961";"29.39.61";"HS6";"Rye Ergot Alkaloids: Ergometrine & Its Salts";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293962";"29.39.62";"HS6";"Rye Ergot Alkaloids: Ergotamine & Its Salts";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293963";"29.39.63";"HS6";"Rye Ergot Alkaloids: Lysergic Acid & Its Salts";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293969";"29.39.69";"HS6";"Other Rye Ergot Alkaloid Salts";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293970";"29.39.70";"HS6";"Nicotine, salts, in bulk";"HS92,HS96"
